Gen	theta_1M	theta_2T	theta_3N	theta_4R	theta_5S	theta_6X	theta_7Y	tau_4R	tau_5S	tau_6X	tau_7Y	phi_X	phi_Y	lnL
4965	0.001567	0.002489	0.014794	0.005389	0.005210	0.013918	0.003448	0.004839	0.002748	0.000647	0.000647	0.184762	0.171617	-156145.721
4970	0.001600	0.002542	0.016299	0.005116	0.005114	0.012761	0.003666	0.004821	0.002894	0.000661	0.000661	0.194468	0.152990	-156160.180
4975	0.001600	0.002542	0.019042	0.005048	0.005129	0.011059	0.004364	0.004848	0.002890	0.000626	0.000626	0.191902	0.200025	-156220.829
4980	0.001548	0.002911	0.016600	0.004883	0.005183	0.009547	0.003206	0.004689	0.002701	0.000606	0.000606	0.158881	0.250422	-156158.726
4985	0.001514	0.003120	0.017176	0.004500	0.007174	0.011047	0.003078	0.004711	0.002337	0.000573	0.000573	0.158881	0.255263	-156186.254
4990	0.001618	0.003340	0.018648	0.004809	0.007244	0.009669	0.002923	0.005035	0.002583	0.000612	0.000612	0.184808	0.240658	-156156.315
4995	0.001581	0.002518	0.015909	0.004634	0.006066	0.009399	0.003376	0.004954	0.002601	0.000598	0.000598	0.216129	0.278920	-156145.091
5000	0.001535	0.002444	0.016756	0.004353	0.005824	0.009127	0.003547	0.004885	0.002546	0.000581	0.000581	0.284788	0.247526	-156169.358
5005	0.001560	0.002006	0.015405	0.004379	0.006682	0.009925	0.003270	0.004966	0.002512	0.000485	0.000485	0.284788	0.233094	-156165.499
5010	0.001631	0.002097	0.012997	0.004898	0.006155	0.007578	0.003727	0.005017	0.002670	0.000561	0.000561	0.258999	0.204413	-156166.581
5015	0.001584	0.002036	0.012799	0.004756	0.005562	0.007102	0.004714	0.004872	0.002542	0.000545	0.000545	0.290447	0.206560	-156143.247
5020	0.001591	0.002046	0.013054	0.004962	0.005359	0.006595	0.006154	0.004809	0.002639	0.000574	0.000574	0.315812	0.235476	-156163.710
5025	0.001635	0.002521	0.014554	0.005097	0.004777	0.008376	0.005142	0.004940	0.003034	0.000589	0.000589	0.358358	0.185724	-156143.369
5030	0.001635	0.002573	0.015350	0.005453	0.004943	0.010611	0.006951	0.004812	0.003146	0.000589	0.000589	0.366966	0.176974	-156107.386
5035	0.001560	0.002066	0.015518	0.005206	0.004600	0.008587	0.006429	0.004593	0.003067	0.000636	0.000636	0.379697	0.137865	-156121.978
5040	0.001581	0.002585	0.016065	0.005276	0.004606	0.009123	0.007016	0.004655	0.003137	0.000731	0.000731	0.331573	0.101888	-156160.432
5045	0.001586	0.002302	0.015840	0.004868	0.004909	0.010692	0.007035	0.004716	0.003001	0.000720	0.000720	0.352432	0.087133	-156185.538
5050	0.001527	0.002920	0.013733	0.005071	0.005291	0.008865	0.006195	0.004540	0.002912	0.000731	0.000731	0.365633	0.100539	-156160.317
5055	0.001612	0.003084	0.014336	0.005004	0.005482	0.010642	0.005880	0.004794	0.003119	0.000727	0.000727	0.403237	0.115734	-156163.642
5060	0.002123	0.002713	0.015385	0.004727	0.004581	0.009858	0.006003	0.004794	0.003328	0.000824	0.000824	0.395430	0.097191	-156158.715
5065	0.002173	0.003158	0.016180	0.004839	0.005269	0.012309	0.005672	0.004908	0.003124	0.000812	0.000812	0.372925	0.097191	-156197.575
5070	0.002088	0.002838	0.015533	0.004669	0.004979	0.011454	0.005451	0.004711	0.003037	0.000856	0.000856	0.377418	0.079395	-156187.710
5075	0.002114	0.002873	0.013283	0.004558	0.004724	0.013364	0.005718	0.004831	0.003064	0.000791	0.000791	0.357416	0.095404	-156167.370
5080	0.002030	0.002420	0.012628	0.004947	0.005090	0.013285	0.006761	0.004689	0.002975	0.000760	0.000760	0.371387	0.111096	-156186.399
5085	0.002030	0.002420	0.014376	0.005057	0.005116	0.014435	0.006761	0.004652	0.002964	0.000714	0.000714	0.369049	0.138002	-156169.269
5090	0.002030	0.002420	0.012969	0.005057	0.005032	0.014641	0.008349	0.004652	0.003103	0.000714	0.000714	0.378025	0.106232	-156141.332
5095	0.002093	0.002800	0.014000	0.005214	0.004223	0.013686	0.007692	0.004797	0.003341	0.000793	0.000793	0.410403	0.106232	-156175.527
5100	0.002005	0.002682	0.012515	0.005028	0.004331	0.011218	0.006382	0.004586	0.003272	0.000849	0.000849	0.381740	0.085622	-156164.949
5105	0.001976	0.002382	0.014995	0.004954	0.003478	0.008899	0.006878	0.004518	0.003400	0.000717	0.000717	0.405861	0.085622	-156120.765
5110	0.002033	0.002452	0.016856	0.005561	0.004372	0.007440	0.007167	0.004702	0.003393	0.000738	0.000738	0.425574	0.096752	-156106.450
5115	0.002014	0.003141	0.016454	0.005508	0.004376	0.007096	0.007098	0.004656	0.003445	0.000785	0.000785	0.393604	0.161617	-156140.861
5120	0.002014	0.003141	0.014603	0.005508	0.004688	0.004659	0.006080	0.004656	0.003269	0.000850	0.000850	0.416491	0.147114	-156199.888
5125	0.002014	0.003141	0.012120	0.005508	0.004967	0.004898	0.008279	0.004656	0.003405	0.000766	0.000766	0.446867	0.136034	-156163.008
5130	0.002013	0.003140	0.011740	0.005507	0.006373	0.004410	0.007988	0.004656	0.003229	0.000818	0.000818	0.490691	0.097852	-156175.893
5135	0.002043	0.003186	0.012913	0.005588	0.008423	0.002994	0.008332	0.004724	0.003127	0.000861	0.000861	0.536311	0.061990	-156118.006
5140	0.001983	0.003093	0.011834	0.005425	0.006432	0.003084	0.009168	0.004586	0.003079	0.000747	0.000747	0.485065	0.061990	-156160.069
5145	0.001937	0.002655	0.013182	0.004640	0.006752	0.005274	0.008125	0.004532	0.002986	0.000714	0.000714	0.504468	0.072328	-156140.994
5150	0.001997	0.003098	0.013129	0.004784	0.006512	0.005574	0.007093	0.004672	0.003240	0.000783	0.000783	0.487187	0.072328	-156163.210
5155	0.001966	0.002956	0.011813	0.004630	0.007629	0.005230	0.008482	0.004629	0.002907	0.000748	0.000748	0.487187	0.072328	-156145.015
5160	0.002116	0.002640	0.014684	0.004573	0.007571	0.006546	0.008443	0.005017	0.003140	0.000808	0.000808	0.498282	0.041301	-156160.879
